Total.Enrollment,Grade.PK,Grade.K,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Female,Male,Asian,Black,Hispanic,Others,White,Disabled.Students,English.Learners,Poverty
841,50,76,74,77,54,73,73,123,122,119,0,0,0,0,421,420,472,82,195,8,84,140,158,664
811,38,79,76,78,64,60,73,112,113,118,0,0,0,0,404,407,450,92,177,15,77,136,172,640
759,31,58,73,70,76,57,55,121,109,109,0,0,0,0,363,396,445,84,157,15,58,141,130,608
791,45,58,61,72,70,83,58,118,116,110,0,0,0,0,370,421,471,78,159,21,62,145,140,630
784,29,72,59,59,72,67,81,121,111,113,0,0,0,0,361,423,487,73,141,21,62,143,131,624
999,29,166,181,166,142,146,169,0,0,0,0,0,0,0,470,529,870,9,47,26,47,128,150,525
999,18,163,181,175,177,141,144,0,0,0,0,0,0,0,479,520,874,10,44,26,45,128,170,489
970,18,118,162,178,170,184,140,0,0,0,0,0,0,0,470,500,853,9,49,26,33,127,126,470
962,36,112,125,160,177,171,181,0,0,0,0,0,0,0,473,489,849,10,46,25,32,147,141,444
913,36,139,116,125,156,175,166,0,0,0,0,0,0,0,436,477,798,9,44,32,30,127,142,433
445,0,0,0,0,0,0,0,115,140,190,0,0,0,0,209,236,334,44,65,1,1,101,200,431
406,0,0,0,0,0,0,0,135,123,148,0,0,0,0,191,215,325,33,47,0,1,110,170,387
420,0,0,0,0,0,0,0,111,166,143,0,0,0,0,185,235,324,34,60,0,2,115,145,401
457,0,0,0,0,0,0,0,162,125,170,0,0,0,0,193,264,382,26,43,3,3,110,156,428
436,0,0,0,0,0,0,0,132,165,139,0,0,0,0,189,247,355,26,46,1,8,112,142,407
116,0,0,0,0,0,0,0,0,0,0,116,0,0,0,75,41,5,26,80,2,3,20,8,90
193,0,0,0,0,0,0,0,0,0,0,100,93,0,0,110,83,11,54,121,2,5,38,14,156
257,0,0,0,0,0,0,0,0,0,0,93,100,64,0,144,113,18,76,150,3,10,56,22,185
